Ann.Ret,Ann.Vol,Sharpe,MDD,Total,ENTRY,EXIT,VIX_Q
0.02988911709123876,0.0572010590938525,0.5225273371634301,-0.10024872426139464,0.8959228720485359,2.0,0.5,0.9
0.05412213528161086,0.106518604206651,0.5081003049627971,-0.301217402297036,1.994038863899854,2.0,0.0,0.9
0.04424368206572445,0.10256411919652754,0.43137583018625864,-0.2655962371733642,1.4165505193060453,2.0,0.0,0.85
0.0228357358469234,0.05485689755956246,0.4162782961272799,-0.09156202205042507,0.6208518854459895,2.0,0.5,0.85
0.037122013935196325,0.09205620673131357,0.4032537864996452,-0.2660116841700251,1.1051055291524325,2.0,0.0,0.8
0.033958361316131884,0.08817835544723142,0.38510994159392764,-0.2699556805344837,0.9751635791806914,2.0,0.0,0.75
0.019708726572647706,0.051528908494789284,0.38247902290887253,-0.09887645619206353,0.516114996623517,2.0,0.5,0.75
0.01951459049343661,0.053050825362294704,0.36784706666046313,-0.09156202205042474,0.506739773279854,2.0,0.5,0.8
0.02771423217295568,0.07977789138281684,0.34739238769758934,-0.19687153171201466,0.7427046422103636,1.5,0.5,0.9
0.02190454365438066,0.06743702796907794,0.324814783718295,-0.13290565940026133,0.559302700840314,2.5,0.0,0.75
0.022444231807681913,0.07392523441505139,0.3036071780532928,-0.2506418158244844,0.5621537607227638,2.5,0.0,0.9
0.020220630763581316,0.0686991668629273,0.2943358949887519,-0.13416650451907952,0.49802606672484995,2.5,0.0,0.8
0.02196725269056384,0.07479618717259985,0.29369481949490495,-0.18283019609908635,0.5433946489758299,1.5,0.5,0.8
0.02033384557941581,0.07114760838891353,0.28579801963637474,-0.1384243607044735,0.49608245330295375,2.5,0.0,0.85
0.019182006806964445,0.07261130501110553,0.26417383359286345,-0.22689586207533619,0.4543747867066281,1.5,0.5,0.75
0.008942490515611108,0.03598550467623165,0.2485025733574776,-0.09156202205042474,0.2065619607882856,2.5,0.5,0.9
0.020007466857994025,0.08131930797336458,0.24603587212703892,-0.18385697160350056,0.45947371549577176,2.0,0.1,0.9
0.017295482611743015,0.07132988726307778,0.24247175027704848,-0.16967678526280838,0.39634163164210134,2.0,0.2,0.9
0.015168534379314487,0.06314738319113224,0.24020843957069307,-0.1780764984000751,0.34745806894841547,2.0,0.2,0.75
0.01753211934494635,0.07477430048526952,0.2344671796481756,-0.18385697160350079,0.3960693045286612,2.0,0.1,0.8
0.017678880659018754,0.07728709190048594,0.2287429921904928,-0.18774141494387342,0.39461213519686056,1.5,0.5,0.85
0.027099277351815207,0.12388931288795677,0.218737812972805,-0.5532870433171095,0.5523709444156322,1.5,0.0,0.8
0.01682815847363585,0.07907054767226358,0.2128246100354107,-0.18385697160350056,0.36361107133303383,2.0,0.1,0.85
0.013312637797756927,0.06473457826854116,0.20564956401710927,-0.17928380854655734,0.2890417132573493,2.0,0.2,0.8
0.014018021920526726,0.07175994547293446,0.19534605033686755,-0.18385697160350056,0.29573352485956894,2.0,0.1,0.75
0.008642264390946631,0.04429058419881911,0.19512644836996876,-0.13009191436107992,0.18931262627749157,2.5,0.2,0.9
0.008322218117152107,0.04267838416664294,0.19499843491396004,-0.13009191436107992,0.18260644953941862,2.5,0.2,0.85
0.01341702447970203,0.06893429847946633,0.19463496076192896,-0.1888303408644072,0.28377915179764535,2.0,0.2,0.85
0.018000629642067837,0.0994389605805529,0.18102190064110735,-0.37424936907871986,0.34390747084313444,1.0,0.5,0.8
0.018998538870621893,0.106296241709073,0.17873199056858338,-0.4213320756102338,0.352962241300008,1.0,0.5,0.9
0.02313557252014549,0.13317587101109335,0.1737219538681923,-0.5622112008586595,0.381230427017178,1.5,0.0,0.9
0.01809474452286309,0.10443463884322016,0.17326382054164388,-0.37265177255439064,0.33145718983334005,1.5,0.1,0.8
0.0057051837016780125,0.03494791760393197,0.16324817307673078,-0.09156202205042474,0.12222577422660308,2.5,0.5,0.85
0.01730536828861546,0.14100917607781654,0.12272512165495822,-0.6691968256230723,0.18136260841361485,1.0,0.0,0.8
0.011483748420950962,0.09586453816237055,0.11979141235208754,-0.46032053948277896,0.16877785190232597,1.0,0.5,0.75
0.01215414376758692,0.11140553276438715,0.10909820604055509,-0.3448587634155367,0.14417825574212184,1.5,0.1,0.9
0.003390614409501813,0.03226648249926207,0.10508162485884093,-0.11930796562255197,0.06707651877447329,2.5,0.5,0.75
0.012362824603990555,0.11908121148140781,0.10381843155770017,-0.5500974772537244,0.1267216422614379,1.5,0.0,0.75
0.012850251408064686,0.12642533062580624,0.10164301208037863,-0.40670879145385497,0.1163261442718273,1.0,0.1,0.8
0.003231999427567636,0.03286831129847019,0.09833177610551792,-0.11930796562255197,0.06278242718808413,2.5,0.5,0.8
0.00367762965347796,0.039326895660873225,0.0935143644489813,-0.13009191436108003,0.06784629884787918,2.5,0.2,0.75
0.009387971133586054,0.10230719274849856,0.09176257193044553,-0.41794367745484384,0.09860479672095446,1.0,0.5,0.85
0.003519014671543783,0.03982216817843274,0.08836823388862196,-0.13009191436108003,0.06354910953974557,2.5,0.2,0.8
0.00784135755455158,0.1017204284920344,0.07708734293392823,-0.36408020224113447,0.06229978794196045,1.5,0.1,0.75
0.0074517308106213645,0.1089287560919644,0.06840921605980842,-0.3812006140126867,0.034945535548711826,1.5,0.1,0.85
0.0032952707649771045,0.04990266857175489,0.06603395889017127,-0.18502335091421662,0.047386128431007535,2.5,0.1,0.85
0.0033548544602185707,0.051483867386588646,0.06516321773240558,-0.18502335091421662,0.04689415989679824,2.5,0.1,0.9
0.0022441501016582386,0.046222984141554305,0.0485505240160545,-0.18502335091421618,0.026848967513400712,2.5,0.1,0.75
0.00387147891539737,0.13596122969981791,0.028474874226608698,-0.44734489391705223,-0.11449868592589585,1.0,0.1,0.9
-0.0015525790128898464,0.13097626149894595,-0.011853896233725842,-0.7210587889073239,-0.2049913483668644,1.5,0.0,0.85
-0.0012901438036406487,0.04738128819104102,-0.027228972721020123,-0.18502335091421618,-0.053300499197651896,2.5,0.1,0.8
-0.004014019407801884,0.13105122414207665,-0.03062939269800458,-0.5498970503514676,-0.248308454083772,1.0,0.1,0.85
-0.007181624091258131,0.13451714285951696,-0.05338817000267589,-0.7222308333626144,-0.3076118015919509,1.0,0.0,0.75
-0.005119478040413112,0.09015316919616427,-0.05678644562426464,-0.44846738983497103,-0.18778808625208465,1.5,0.2,0.75
-0.005914729098754147,0.0923342986567057,-0.06405776818368236,-0.4310135495241991,-0.205868529025502,1.5,0.2,0.8
-0.011193801374568652,0.1164062073059216,-0.0961615504330517,-0.42763137616811775,-0.334290860410846,1.0,0.2,0.8
-0.010170550842233471,0.09902482503895921,-0.10270708217088073,-0.4480934470831913,-0.2892405730456209,1.5,0.2,0.9
-0.014354138069778933,0.122440155389235,-0.11723390928529445,-0.5820035927246209,-0.39024115448251473,1.0,0.1,0.75
-0.014815226731054888,0.12482455041196279,-0.11868840450183622,-0.47374489445995116,-0.40068567353234497,1.0,0.2,0.9
-0.015543240241638433,0.09654220808496479,-0.16099942760744762,-0.4380281055516507,-0.367216467292272,1.5,0.2,0.85
-0.020219650157691962,0.12103730048439633,-0.16705304957043884,-0.527037828939537,-0.4641407647465565,1.0,0.2,0.85
-0.01987504622989113,0.11284744938727796,-0.17612313204955587,-0.5467054827676898,-0.44800403688748014,1.0,0.2,0.75
-0.03450282276282903,0.14601366974128724,-0.23629857960533757,-0.8486603989375245,-0.6403737705694698,1.0,0.0,0.85
-0.042741582097039765,0.152414903417223,-0.2804291518660631,-0.8776135772186725,-0.7079677731472216,1.0,0.0,0.9
